ชื่อหมวดหมู่,ค่าคอมมิชชันโดยตรง,ค่าคอมมิชชันอ้อม,ลิงก์
Health & Wellness,2%,0.6%,https://s.shopee.co.th/6L2zCNQGE7
Fashion Accessories,2%,0.6%,https://s.shopee.co.th/5VTsCqTQuy
Home Appliances,2%,0.6%,https://s.shopee.co.th/5LAS0XU4Fx
Men Clothes,2%,0.6%,https://s.shopee.co.th/5q6ibSSAF4
Men Shoes,2%,0.6%,https://s.shopee.co.th/5fnIP9Sna3
Mobile & Tablets,2%,0.6%,https://s.shopee.co.th/AAFhlQBfRw
Baby & Toys,2%,0.6%,https://s.shopee.co.th/9zwHZ7CImv
Bags,2%,0.6%,https://s.shopee.co.th/AUsYA2AOm2
Women Clothes,2%,0.6%,https://s.shopee.co.th/9V00yCECns
Women Shoes,2%,0.6%,https://s.shopee.co.th/9KgaltEq8r
Watches & Glasses,2%,0.6%,https://s.shopee.co.th/9fJRAVDZSx
Cameras,2%,0.6%,https://s.shopee.co.th/8pkKAyGk9o
Food & Beverages,2%,0.6%,https://s.shopee.co.th/8fQtyfHNUn
Beauty & Personal Care,2%,0.6%,https://s.shopee.co.th/9ANAZaFTTu
Pets,2%,0.6%,https://s.shopee.co.th/903kNHG6ot
Gaming & Accessories,2%,0.6%,https://s.shopee.co.th/8V7TmMI0pq
